Station,Camera,Latitude,Longitude,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Problem2_from,Problem2_to,sessionCol,Cluster,TrailType,CameraType,Habitat,BaitReplaced1,BaitReplaced2,BaitReplaced3,BaitReplaced4,BaitReplaced5,BaitReplaced6
PS1,CamA,-32.679857,152.183854,8/12/2022,06/03/2023,,,,,1,N/A,Walktrail,Trail,Wet_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS1,CamB,-32.679857,152.183854,8/12/2022,06/03/2023,,,,,1,N/A,Walktrail,Trail,Wet_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS2,CamA,-32.657412,152.185272,9/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Wet_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS2,CamB,-32.657412,152.185272,9/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Wet_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS3,CamA,-32.63617,152.20218,9/12/2022,06/03/2023,5/01/2023,10/01/2023,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS3,CamB,-32.63617,152.20218,9/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS5,CamA,-32.60284,152.23293,8/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS5,CamB,-32.60284,152.23293,8/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS6,CamA,-32.58665,152.27344,8/12/2022,06/03/2023,5/02/2023,21/02/2023,,,1,N/A,4wdtrack,Trail,Heathland,N/A,N/A,N/A,N/A,N/A,N/A
PS6,CamB,-32.58665,152.27344,8/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Heathland,N/A,N/A,N/A,N/A,N/A,N/A
PS9,CamA,-32.51167,152.32956,8/12/2022,06/03/2023,21/12/2022,10/01/2023,,,1,N/A,4wdtrack,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A
PS9,CamB,-32.51167,152.32956,8/12/2022,06/03/2023,21/12/2022,10/01/2023,,,1,N/A,4wdtrack,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A
PS11,CamA,-32.48169,152.35347,5/12/2022,06/03/2023,5/12/2022,12/01/2023,,,1,N/A,Unsealedroad,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS11,CamB,-32.48169,152.35347,5/12/2022,06/03/2023,5/12/2022,12/01/2023,20/02/2023,06/03/2023,1,N/A,Unsealedroad,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS12,CamA,-32.5004,152.3555,8/12/2022,06/03/2023,,,,,1,N/A,Walktrail,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS12,CamB,-32.5004,152.3555,8/12/2022,06/03/2023,,,,,1,N/A,Walktrail,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS13,CamA,-32.4571,152.38283,5/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A
PS13,CamB,-32.4571,152.38283,5/12/2022,06/03/2023,28/12/2022,9/01/2023,,,1,N/A,4wdtrack,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A
PS14,CamA,-32.48103,152.39821,5/12/2022,06/03/2023,,,,,1,N/A,Walktrail,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A
PS14,CamB,-32.48103,152.39821,5/12/2022,06/03/2023,,,,,1,N/A,Walktrail,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A
PS15,CamA,-32.46137,152.42685,5/12/2022,06/03/2023,,,,,1,N/A,Unsealedroad,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS15,CamB,-32.46137,152.42685,5/12/2022,06/03/2023,,,,,1,N/A,Unsealedroad,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
PS16,CamA,-32.44598,152.43916,5/12/2022,06/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A
