Trap,Camera,Latitude,Longitude,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Problem2_from,Problem2_to,sessionCol,Cluster,TrailType,CameraType,Habitat,BaitReplaced1,BaitReplaced2,BaitReplaced3,BaitReplaced4,BaitReplaced5,BaitReplaced6,x,y,Habitat2
PS1,CamA,-32.679857,152.183854,8/12/2022,6/03/2023,,,,,1,N/A,Walktrail,Trail,Wet_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,423483.8042,6383908.967,Forest
PS2,CamA,-32.657412,152.185272,9/12/2022,6/03/2023,,,,,1,N/A,4wdtrack,Trail,Wet_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,423597.6501,6386398.217,Forest
PS3,CamA,-32.63617,152.20218,9/12/2022,6/03/2023,5/01/2023,10/01/2023,,,1,N/A,Unsealedroad,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,425165.5768,6388765.112,Forest
PS5,CamA,-32.60284,152.23293,8/12/2022,6/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,428023.2917,6392481.238,Forest
PS6,CamA,-32.58665,152.27344,8/12/2022,6/03/2023,5/02/2023,21/02/2023,,,1,N/A,4wdtrack,Trail,Heathland,N/A,N/A,N/A,N/A,N/A,N/A,431812.3063,6394302.706,Dense
PS9,CamA,-32.51167,152.32956,8/12/2022,6/03/2023,21/12/2022,10/01/2023,,,1,N/A,4wdtrack,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A,437026.9461,6402649.222,Dense
PS11,CamA,-32.48169,152.35347,5/12/2022,6/03/2023,5/12/2022,12/01/2023,,,1,N/A,Unsealedroad,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,439252.656,6405986.504,Forest
PS12,CamA,-32.5004,152.3555,8/12/2022,6/03/2023,,,,,1,N/A,Walktrail,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,439455.9293,6403913.578,Forest
PS13,CamA,-32.4571,152.38283,5/12/2022,6/03/2023,,,,,1,N/A,4wdtrack,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A,441995.5766,6408728.728,Dense
PS14,CamA,-32.48103,152.39821,5/12/2022,6/03/2023,,,,,1,N/A,Walktrail,Trail,Forested_Wetland,N/A,N/A,N/A,N/A,N/A,N/A,443456.0396,6406084.261,Dense
PS15,CamA,-32.46137,152.42685,5/12/2022,6/03/2023,,,,,1,N/A,Unsealedroad,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,446135.3775,6408278.451,Forest
PS16,CamA,-32.44598,152.43916,5/12/2022,6/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,447283.3255,6409990.619,Forest
PS17,CamA,-32.42615,152.47166,5/12/2022,6/03/2023,5/12/2022,9/01/2023,,,1,N/A,Unsealedroad,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,450327.3588,6412204.396,Forest
PS18,CamA,-32.46056,152.46057,5/12/2022,6/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,449303.9698,6408384.757,Forest
PS19,CamA,-32.44154,152.49286,5/12/2022,6/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,452328.6289,6410508.042,Forest
PS20,CamA,-32.39972,152.50082,5/12/2022,6/03/2023,,,,,1,N/A,Walktrail,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,453055.2261,6415147.383,Forest
PS21,CamA,-32.43413,152.51566,6/12/2022,6/03/2023,,,,,1,N/A,4wdtrack,Trail,Dry_Sclerophyll_Forest,N/A,N/A,N/A,N/A,N/A,N/A,454468.1361,6411339.402,Forest
