Easting,Northing,cam.type
423483.8042,6383908.967,Trail
439252.656,6405986.504,Trail
439455.9293,6403913.578,Trail
441995.5766,6408728.728,Trail
443456.0396,6406084.261,Trail
446135.3775,6408278.451,Trail
447283.3255,6409990.619,Trail
450327.3588,6412204.396,Trail
449303.9698,6408384.757,Trail
452328.6289,6410508.042,Trail
423597.6501,6386398.217,Trail
453055.2261,6415147.383,Trail
454468.1361,6411339.402,Trail
432721.4991,6396085.316,Trail
426520.2766,6391585.037,Trail
435128.3781,6404139.8,Trail
434937.2176,6398877.046,Trail
450228.6662,6415141.993,Trail
425165.5768,6388765.112,Trail
428023.2917,6392481.238,Trail
431812.3063,6394302.706,Trail
437026.9461,6402649.222,Trail
423123.9449,6384989.461,Baited
433210.2698,6394727.664,Baited
432939.6891,6395801.316,Baited
434908.3211,6398873.31,Baited
436076.6763,6399831.914,Baited
436664.1994,6403447.337,Baited
423660.3476,6385658.007,Baited
439213.5864,6405921.304,Baited
445940.5215,6407673.126,Baited
423460.0349,6387171.221,Baited
454791.6232,6410317.348,Baited
454489.0775,6411323.756,Baited
455644.9729,6411337.353,Baited
448803.6251,6414575.911,Baited
449794.3107,6414906.043,Baited
424935.0874,6388965.262,Baited
425119.1426,6389901.344,Baited
425932.1259,6390171.274,Baited
427994.2258,6392191.786,Baited
428229.8478,6392649.02,Baited
429338.2463,6393108.364,Baited
432246.2283,6394838.682,Baited
435458.0518,6399636.93,Baited
436480.9538,6402287.033,Baited
437390.0079,6402903.149,Baited
435043.0087,6404338.129,Baited
434727.7749,6405006.446,Baited
434824.2998,6405449.402,Baited
438424.7863,6405320.738,Baited
439205.3992,6404390.082,Baited
442221.5048,6408259.223,Baited
441248.9857,6406969.514,Baited
442485.0135,6407050.733,Baited
445703.4461,6406782.001,Baited
444747.3274,6406776.889,Baited
449019.3394,6409522.243,Baited
447891.908,6410075.719,Baited
449031.5292,6410898.129,Baited
449688.0246,6413687.664,Baited
