"RootFolder","File","RelativePath","DateTime","DeleteFlag","animal","empty","person","vehicle","Species","Unidentifiable","Dark","No_Adults_Seq","No_Juv_Seq","Date","Individual","time_diff","keep_row","Trap","camtype"
"Imagestoclassify","PS19__CamB__2022-12-05__14-51-43(1).JPG","BrendanAltingMLDP2023Images\PS19\CamB",2022-12-05 14:51:43,"false","true","false","false","false","Dingo","false","false",1,0,2022-12-05,"MBF1701",0,TRUE,"PS19","Trail"
"Imagestoclassify","PS19__CamB__2022-12-05__19-50-11(1).JPG","BrendanAltingMLDP2023Images\PS19\CamB",2022-12-05 19:50:11,"false","true","false","false","false","Dingo","false","false",1,0,2022-12-05,"UOM2007",0,TRUE,"PS19","Trail"
"Imagestoclassify","PS16__CamB__2022-12-05__23-58-26(1).JPG","BrendanAltingMLDP2023Images\PS16\CamB",2022-12-05 23:58:26,"false","true","false","false","false","Dingo","false","true",1,0,2022-12-05,"YGM2102",0,TRUE,"PS16","Trail"
"Imagestoclassify","Q36__2018-01-02__19-33-49(1).JPG","BrendanAltingMLDP2023Images\Q36",2022-12-08 05:47:49,"false","false","false","false","false","Dingo","false","false",1,0,2022-12-08,"YGM2102",193744,TRUE,"Q36","Baited"
"Imagestoclassify","PS21__CamB__2022-12-08__07-02-18(1).JPG","BrendanAltingMLDP2023Images\PS21\CamB",2022-12-08 07:02:18,"false","true","false","false","false","Dingo","false","false",1,0,2022-12-08,"MBF1701",231032,TRUE,"PS21","Trail"
"Imagestoclassify","Q2__2022-12-08__11-29-01(1).JPG","BrendanAltingMLDP2023Images\Q2",2022-12-08 11:29:01,"false","false","false","false","false","Dingo","false","false",1,0,2022-12-08,"UOF2101",0,TRUE,"Q2","Baited"
"Imagestoclassify","Q2__2022-12-08__12-49-58(1).JPG","BrendanAltingMLDP2023Images\Q2",2022-12-08 12:49:58,"false","false","false","false","false","Dingo","false","false",1,0,2022-12-08,"UOF2101",4697,TRUE,"Q2","Baited"
"Imagestoclassify","PS21__CamB__2022-12-08__17-15-22(1).JPG","BrendanAltingMLDP2023Images\PS21\CamB",2022-12-08 17:15:22,"false","true","false","false","false","Dingo","false","false",2,1,2022-12-08,"MBF1701",36755,TRUE,"PS21","Trail"
"Imagestoclassify","PS21__CamB__2022-12-08__17-33-26(1).JPG","BrendanAltingMLDP2023Images\PS21\CamB",2022-12-08 17:33:26,"false","true","false","false","false","Dingo","false","false",2,1,2022-12-08,"UOM2007",250957,TRUE,"PS21","Trail"
"Imagestoclassify","PS1__CamA__2022-12-08__18-15-24(1).JPG","BrendanAltingMLDP2023Images\PS1\CamA",2022-12-08 18:15:24,"false","true","false","false","false","Dingo","false","false",1,0,2022-12-08,"UOF2101",19514,TRUE,"PS1","Trail"
"Imagestoclassify","PS21__CamA__2022-12-10__06-20-14(1).JPG","BrendanAltingMLDP2023Images\PS21\CamA",2022-12-10 06:20:14,"false","true","false","false","false","Dingo","false","true",1,0,2022-12-10,"MBF1701",133491,TRUE,"PS21","Trail"
"Imagestoclassify","PS21__CamA__2022-12-10__06-42-16(1).JPG","BrendanAltingMLDP2023Images\PS21\CamA",2022-12-10 06:42:16,"false","true","false","false","false","Dingo","false","true",1,0,2022-12-10,"UOM2007",133639,TRUE,"PS21","Trail"
"Imagestoclassify","PS21__CamB__2022-12-10__16-35-21(1).JPG","BrendanAltingMLDP2023Images\PS21\CamB",2022-12-10 16:35:21,"false","true","false","false","false","Dingo","false","false",1,0,2022-12-10,"MBF1701",36883,TRUE,"PS21","Trail"
"Imagestoclassify","PS2__CamA__2022-12-10__19-54-50(1).JPG","BrendanAltingMLDP2023Images\PS2\CamA",2022-12-10 19:54:50,"false","true","false","false","false","Dingo","false","false",2,0,2022-12-10,"UOF1906",0,TRUE,"PS2","Trail"
"Imagestoclassify","PS6__CamB__2022-12-12__13-13-56(1).JPG","BrendanAltingMLDP2023Images\PS6\CamB",2022-12-12 13:13:56,"false","true","false","false","false","Dingo","false","false",3,4,2022-12-12,"SLF1501",0,TRUE,"PS6","Trail"
"Imagestoclassify","PS6__CamB__2022-12-12__13-13-59(6).JPG","BrendanAltingMLDP2023Images\PS6\CamB",2022-12-12 13:13:59,"false","true","false","false","false","Dingo","false","false",3,4,2022-12-12,"UOM2002",0,TRUE,"PS6","Trail"
"Imagestoclassify","PS6__CamA__2022-12-12__13-40-24(1).JPG","BrendanAltingMLDP2023Images\PS6\CamA",2022-12-12 13:40:24,"false","true","false","false","false","Dingo","false","false",1,4,2022-12-12,"SLF2105",0,TRUE,"PS6","Trail"
"Imagestoclassify","PS21__CamB__2022-12-12__15-19-08(1).JPG","BrendanAltingMLDP2023Images\PS21\CamB",2022-12-12 15:19:08,"false","true","false","false","false","Dingo","false","false",1,0,2022-12-12,"MBF1701",168225,TRUE,"PS21","Trail"
"Imagestoclassify","PS27__CamB__2022-12-13__05-44-14(1).JPG","BrendanAltingMLDP2023Images\PS27\CamB",2022-12-13 05:44:14,"false","true","false","false","false","Dingo","false","false",1,0,2022-12-13,"UOM2007",255678,TRUE,"PS27","Trail"
"Imagestoclassify","PS1__CamA__2022-12-13__09-14-41(1).JPG","BrendanAltingMLDP2023Images\PS1\CamA",2022-12-13 09:14:41,"false","true","false","false","false","Dingo","false","false",2,0,2022-12-13,"UOM2004",0,TRUE,"PS1","Trail"
"Imagestoclassify","PS1__CamA__2022-12-13__09-15-04(1).JPG","BrendanAltingMLDP2023Images\PS1\CamA",2022-12-13 09:15:04,"false","true","false","false","false","Dingo","false","false",2,0,2022-12-13,"UOF1709",0,TRUE,"PS1","Trail"
"Imagestoclassify","PS1__CamA__2022-12-13__17-36-47(1).JPG","BrendanAltingMLDP2023Images\PS1\CamA",2022-12-13 17:36:47,"false","true","false","false","false","Dingo","false","false",2,0,2022-12-13,"UOF1709",30081,TRUE,"PS1","Trail"
"Imagestoclassify","PS1__CamA__2022-12-13__17-37-00(1).JPG","BrendanAltingMLDP2023Images\PS1\CamA",2022-12-13 17:37:00,"false","true","false","false","false","Dingo","false","false",2,0,2022-12-13,"UOM2004",30119,TRUE,"PS1","Trail"
"Imagestoclassify","PS19__CamB__2022-12-13__17-57-58(1).JPG","BrendanAltingMLDP2023Images\PS19\CamB",2022-12-13 17:57:58,"false","true","false","false","false","Dingo","false","false",1,0,2022-12-13,"MBF1701",95929,TRUE,"PS19","Trail"
"Imagestoclassify","Q6__2022-12-14__04-54-10(1).JPG","BrendanAltingMLDP2023Images\Q6",2022-12-14 04:54:10,"false","false","false","false","false","Dingo","false","false",1,0,2022-12-14,"UOM2002",142411,TRUE,"Q6","Baited"
