"RootFolder","File","RelativePath","DateTime","DeleteFlag","animal","empty","person","vehicle","Species","Unidentifiable","Dark","No_Adults_Seq","No_Juv_Seq","Date","Individual","time_diff","keep_row","Trap","camtype"
"Imagestoclassify","PS14__CamA__2022-12-05__03-14-25(4).JPG","BrendanAltingMLDP2023Images\PS14\CamA",2022-12-05 03:14:25,"false","true","false","false","false","Fox","false","false",0,0,2022-12-05,"Unidentifiable",0,TRUE,"PS14","Trail"
"Imagestoclassify","PS14__CamA__2022-12-05__03-47-42(1).JPG","BrendanAltingMLDP2023Images\PS14\CamA",2022-12-05 03:47:42,"false","true","false","false","false","Fox","false","false",0,0,2022-12-05,"Unidentifiable",1994,TRUE,"PS14","Trail"
"Imagestoclassify","PS25__CamB__2022-12-06__23-56-02(1).JPG","BrendanAltingMLDP2023Images\PS25\CamB",2022-12-06 23:56:02,"false","true","false","false","false","Fox","false","false",0,0,2022-12-06,"Unidentifiable",158895,TRUE,"PS25","Trail"
"Imagestoclassify","PS25__CamB__2022-12-08__03-26-01(1).JPG","BrendanAltingMLDP2023Images\PS25\CamB",2022-12-08 03:26:01,"false","true","false","false","false","Fox","false","false",0,0,2022-12-08,"Unidentifiable",98998,TRUE,"PS25","Trail"
"Imagestoclassify","PS15__CamB__2022-12-09__21-18-11(1).JPG","BrendanAltingMLDP2023Images\PS15\CamB",2022-12-09 21:18:11,"false","true","false","false","false","Fox","false","false",0,0,2022-12-09,"Unidentifiable",150729,TRUE,"PS15","Trail"
"Imagestoclassify","PS14__CamA__2022-12-10__01-07-54(1).JPG","BrendanAltingMLDP2023Images\PS14\CamA",2022-12-10 01:07:54,"false","true","false","false","false","Fox","false","false",0,0,2022-12-10,"Unidentifiable",13783,TRUE,"PS14","Trail"
"Imagestoclassify","PS15__CamB__2022-12-10__01-55-23(1).JPG","BrendanAltingMLDP2023Images\PS15\CamB",2022-12-10 01:55:23,"false","true","false","false","false","Fox","false","false",0,0,2022-12-10,"Unidentifiable",2849,TRUE,"PS15","Trail"
"Imagestoclassify","PS14__CamA__2022-12-10__03-12-51(1).JPG","BrendanAltingMLDP2023Images\PS14\CamA",2022-12-10 03:12:51,"false","true","false","false","false","Fox","false","false",0,0,2022-12-10,"Unidentifiable",4647,TRUE,"PS14","Trail"
"Imagestoclassify","PS3__CamA__2022-12-11__00-11-01(1).JPG","BrendanAltingMLDP2023Images\PS3\CamA",2022-12-11 00:11:01,"false","true","false","false","false","Fox","false","false",0,0,2022-12-11,"Unidentifiable",75488,TRUE,"PS3","Trail"
"Imagestoclassify","PS3__CamA__2022-12-11__00-37-48(1).JPG","BrendanAltingMLDP2023Images\PS3\CamA",2022-12-11 00:37:48,"false","true","false","false","false","Fox","false","false",0,0,2022-12-11,"Unidentifiable",1605,TRUE,"PS3","Trail"
"Imagestoclassify","PS14__CamA__2022-12-11__00-52-59(1).JPG","BrendanAltingMLDP2023Images\PS14\CamA",2022-12-11 00:52:59,"false","true","false","false","false","Fox","false","false",0,0,2022-12-11,"Unidentifiable",910,TRUE,"PS14","Trail"
"Imagestoclassify","PS13__CamA__2022-12-11__22-03-27(1).JPG","BrendanAltingMLDP2023Images\PS13\CamA",2022-12-11 22:03:27,"false","true","false","false","false","Fox","false","false",0,0,2022-12-11,"Unidentifiable",75915,TRUE,"PS13","Trail"
"Imagestoclassify","Q4__2022-12-12__00-02-50(1).JPG","BrendanAltingMLDP2023Images\Q4",2022-12-12 00:02:50,"false","false","false","false","false","Fox","false","false",0,0,2022-12-12,"Unidentifiable",7140,TRUE,"Q4","Baited"
"Imagestoclassify","PS21__CamB__2022-12-13__00-48-30(1).JPG","BrendanAltingMLDP2023Images\PS21\CamB",2022-12-13 00:48:30,"false","true","false","false","false","Fox","false","false",0,0,2022-12-13,"Unidentifiable",89139,TRUE,"PS21","Trail"
