"RootFolder","File","RelativePath","DateTime","DeleteFlag","animal","empty","person","vehicle","Species","Unidentifiable","Dark","No_Adults_Seq","No_Juv_Seq","Date","Individual","time_diff","keep_row","Trap","camtype"
"Imagestoclassify","PS17__CamB__2022-12-05__09-58-25(1).JPG","BrendanAltingMLDP2023Images\PS17\CamB",2022-12-05 09:58:25,"false","true","false","false","false","Goanna","false","false",0,0,2022-12-05,"Unidentifiable",0,TRUE,"PS17","Trail"
"Imagestoclassify","Q33__2022-12-06__12-53-47(1).JPG","BrendanAltingMLDP2023Images\Q33",2022-12-06 12:53:47,"false","false","false","false","false","Goanna","false","false",0,0,2022-12-06,"Unidentifiable",96920,TRUE,"Q33","Baited"
"Imagestoclassify","Q34__2021-12-07__10-50-34(1).JPG","BrendanAltingMLDP2023Images\Q34",2022-12-07 10:50:34,"false","false","false","false","false","Goanna","false","false",0,0,2022-12-07,"Unidentifiable",78767,TRUE,"Q34","Baited"
"Imagestoclassify","Q37__2022-12-07__11-40-44(1).JPG","BrendanAltingMLDP2023Images\Q37",2022-12-07 11:40:44,"false","false","false","false","false","Goanna","false","false",0,0,2022-12-07,"Unidentifiable",1754,TRUE,"Q37","Baited"
"Imagestoclassify","Q37__2022-12-07__13-16-46(1).JPG","BrendanAltingMLDP2023Images\Q37",2022-12-07 13:16:46,"false","false","false","false","false","Goanna","false","false",0,0,2022-12-07,"Unidentifiable",1740,TRUE,"Q37","Baited"
"Imagestoclassify","Q37__2022-12-07__13-40-18(1).JPG","BrendanAltingMLDP2023Images\Q37",2022-12-07 13:40:18,"false","false","false","false","false","Goanna","false","false",0,0,2022-12-07,"Unidentifiable",1192,TRUE,"Q37","Baited"
"Imagestoclassify","Q9__2022-12-07__16-13-35(3).JPG","BrendanAltingMLDP2023Images\Q9",2022-12-07 16:13:35,"false","false","false","false","false","Goanna","false","false",0,0,2022-12-07,"Unidentifiable",9190,TRUE,"Q9","Baited"
"Imagestoclassify","Q9__2022-12-08__07-41-52(1).JPG","BrendanAltingMLDP2023Images\Q9",2022-12-08 07:41:52,"false","false","false","false","false","Goanna","false","false",0,0,2022-12-08,"Unidentifiable",55165,TRUE,"Q9","Baited"
"Imagestoclassify","Q34__2021-12-08__08-34-22(1).JPG","BrendanAltingMLDP2023Images\Q34",2022-12-08 08:34:22,"false","false","false","false","false","Goanna","false","false",0,0,2022-12-08,"Unidentifiable",2672,TRUE,"Q34","Baited"
"Imagestoclassify","Q3__2022-12-08__11-11-22(1).JPG","BrendanAltingMLDP2023Images\Q3",2022-12-08 11:11:22,"false","false","false","false","false","Goanna","false","false",0,0,2022-12-08,"Unidentifiable",2119,TRUE,"Q3","Baited"
"Imagestoclassify","Q28__2020-12-08__12-44-28(1).JPG","BrendanAltingMLDP2023Images\Q28",2022-12-08 12:44:28,"false","false","false","false","false","Goanna","false","false",0,0,2022-12-08,"Unidentifiable",1343,TRUE,"Q28","Baited"
"Imagestoclassify","Q39__2022-12-08__13-10-52(1).JPG","BrendanAltingMLDP2023Images\Q39",2022-12-08 13:10:52,"false","false","false","false","false","Goanna","false","false",0,0,2022-12-08,"Unidentifiable",1163,TRUE,"Q39","Baited"
"Imagestoclassify","Q33__2022-12-08__16-32-21(1).JPG","BrendanAltingMLDP2023Images\Q33",2022-12-08 16:32:21,"false","false","false","false","false","Goanna","false","false",0,0,2022-12-08,"Unidentifiable",4029,TRUE,"Q33","Baited"
"Imagestoclassify","Q33__2022-12-08__17-08-56(1).JPG","BrendanAltingMLDP2023Images\Q33",2022-12-08 17:08:56,"false","true","false","false","false","Goanna","false","false",0,0,2022-12-08,"Unidentifiable",1385,TRUE,"Q33","Baited"
"Imagestoclassify","Q21__2022-12-09__10-16-29(1).JPG","BrendanAltingMLDP2023Images\Q21",2022-12-09 10:16:29,"false","false","false","false","false","Goanna","false","false",0,0,2022-12-09,"Unidentifiable",61616,TRUE,"Q21","Baited"
"Imagestoclassify","Q32__2018-01-03__22-49-12(8).JPG","BrendanAltingMLDP2023Images\Q32",2022-12-09 10:49:12,"false","false","false","false","false","Goanna","false","false",0,0,2022-12-09,"Unidentifiable",1189,TRUE,"Q32","Baited"
"Imagestoclassify","Q34__2021-12-09__11-28-16(2).JPG","BrendanAltingMLDP2023Images\Q34",2022-12-09 11:28:16,"false","false","false","false","false","Goanna","false","false",0,0,2022-12-09,"Unidentifiable",1621,TRUE,"Q34","Baited"
"Imagestoclassify","Q37__2022-12-09__12-01-06(1).JPG","BrendanAltingMLDP2023Images\Q37",2022-12-09 12:01:06,"false","false","false","false","false","Goanna","false","false",0,0,2022-12-09,"Unidentifiable",1072,TRUE,"Q37","Baited"
