"RootFolder","File","RelativePath","DateTime","DeleteFlag","animal","empty","person","vehicle","Species","Unidentifiable","Dark","No_Adults_Seq","No_Juv_Seq","Date","Individual","time_diff","keep_row","Trap"
"Imagestoclassify","PS14__CamA__2022-12-05__02-46-08(1).JPG","BrendanAltingMLDP2023Images\PS14\CamA",2022-12-05 02:46:08,"false","true","false","false","false","Quoll","false","false",0,0,2022-12-05,"QU2104",0,TRUE,"PS14"
"Imagestoclassify","Q23__2022-12-08__20-06-22(1).JPG","BrendanAltingMLDP2023Images\Q23",2022-12-08 20:06:22,"false","false","false","false","false","Quoll","false","false",0,0,2022-12-08,"QU2101",0,TRUE,"Q23"
"Imagestoclassify","Q23__2022-12-08__20-28-17(1).JPG","BrendanAltingMLDP2023Images\Q23",2022-12-08 20:28:17,"false","false","false","false","false","Quoll","false","false",0,0,2022-12-08,"QU2101",1272,TRUE,"Q23"
"Imagestoclassify","Q18__2022-12-09__11-12-49(1).JPG","BrendanAltingMLDP2023Images\Q18",2022-12-09 11:12:49,"false","false","false","false","false","Quoll","false","false",0,0,2022-12-09,"QU2002",0,TRUE,"Q18"
"Imagestoclassify","Q18__2022-12-09__11-13-56(59).JPG","BrendanAltingMLDP2023Images\Q18",2022-12-09 11:13:56,"false","false","false","false","false","Quoll","false","false",0,0,2022-12-09,"Unidentifiable",0,TRUE,"Q18"
"Imagestoclassify","Q17__2022-12-10__23-42-49(1).JPG","BrendanAltingMLDP2023Images\Q17",2022-12-10 23:42:49,"false","false","false","false","false","Quoll","false","false",0,0,2022-12-10,"QU2002",131250,TRUE,"Q17"
"Imagestoclassify","Q17__2022-12-10__23-47-54(16).JPG","BrendanAltingMLDP2023Images\Q17",2022-12-10 23:47:54,"false","false","false","false","false","Quoll","false","false",0,0,2022-12-10,"Unidentifiable",131580,TRUE,"Q17"
"Imagestoclassify","Q22__2022-12-11__00-35-27(1).JPG","BrendanAltingMLDP2023Images\Q22",2022-12-11 00:35:27,"false","false","false","false","false","Quoll","false","false",0,0,2022-12-11,"QU2113",0,TRUE,"Q22"
"Imagestoclassify","Q17__2022-12-11__09-39-51(1).JPG","BrendanAltingMLDP2023Images\Q17",2022-12-11 09:39:51,"false","false","false","false","false","Quoll","false","false",0,0,2022-12-11,"Unidentifiable",35517,TRUE,"Q17"
"Imagestoclassify","Q17__2022-12-11__09-39-52(2).JPG","BrendanAltingMLDP2023Images\Q17",2022-12-11 09:39:52,"false","false","false","false","false","Quoll","false","false",0,0,2022-12-11,"QU2002",35311,TRUE,"Q17"
"Imagestoclassify","Q22__2022-12-12__02-45-54(1).JPG","BrendanAltingMLDP2023Images\Q22",2022-12-12 02:45:54,"false","false","false","false","false","Quoll","false","false",0,0,2022-12-12,"QU2113",94037,TRUE,"Q22"
"Imagestoclassify","PS14__CamA__2022-12-12__20-49-25(1).JPG","BrendanAltingMLDP2023Images\PS14\CamA",2022-12-12 20:49:25,"false","true","false","false","false","Quoll","true","false",0,0,2022-12-12,"Unidentifiable",126574,TRUE,"PS14"
"Imagestoclassify","Q22__2022-12-12__21-48-43(1).JPG","BrendanAltingMLDP2023Images\Q22",2022-12-12 21:48:43,"false","false","false","false","false","Quoll","false","false",0,0,2022-12-12,"QU2113",68529,TRUE,"Q22"
"Imagestoclassify","Q17__2022-12-13__05-50-59(1).JPG","BrendanAltingMLDP2023Images\Q17",2022-12-13 05:50:59,"false","false","false","false","false","Quoll","false","false",0,0,2022-12-13,"QU2002",158984,TRUE,"Q17"
